,lead_time_to_finish,lead_time_to_ship,lead_time_from_ckd,freq_50_60,target_lead_time_to_finish_days
lead_time_to_finish,1.0,0.9762667612526655,0.3442196989013962,0.06465268470899263,1.0
lead_time_to_ship,0.9762667612526655,1.0,0.358168153991811,-0.023012916588444957,0.9762667612526655
lead_time_from_ckd,0.3442196989013962,0.358168153991811,1.0,-0.06536266310389596,0.34421969890139625
freq_50_60,0.06465268470899263,-0.023012916588444957,-0.06536266310389596,1.0,0.06465268470899269
target_lead_time_to_finish_days,1.0,0.9762667612526655,0.34421969890139625,0.06465268470899269,1.0
